chrom,start,end
chr2R,7889179,7889780
chr2R,7889744,7890345
chr2R,8013506,8014107
chr2R,8052500,8053101
chr2R,8251421,8252022
chr2R,8394244,8394845
chr2R,8396502,8397103
chr2R,8665139,8665740
chr2R,9055927,9056528
chr2R,9094323,9094924
chr2R,9186070,9186671
chr2R,9401472,9402073
chr2R,9666035,9666636
chr2R,9942679,9943280
chr2R,9988740,9989341
chr2R,10077946,10078547
chr2R,10208604,10209205
chr2R,10252465,10253066
chr2R,10416988,10417589
chr2R,10858608,10859209
chr2R,11134244,11134845
chr2R,11263756,11264357
chr2R,11265794,11266395
chr2R,11410660,11411261
chr2R,11435495,11436096
chr2R,11435949,11436550
chr2R,11581846,11582447
chr2R,12252625,12253226
chr2R,12403500,12404101
chr2R,12665624,12666225
chr2R,12955669,12956270
chr2R,13132254,13132855
chr2R,13344121,13344722
chr2R,13347524,13348125
chr2R,13403527,13404128
chr2R,13450226,13450827
chr2R,13453299,13453900
chr2R,13553748,13554349
chr2R,13829027,13829628
chr2R,13934182,13934783
chr3L,10225234,10225835
chr3L,10507849,10508450
chr3L,10515665,10516266
chr3L,10644565,10645166
chr3L,10664341,10664942
chr3L,11041084,11041685
chr3L,11047798,11048399
chr3L,11135686,11136287
chr3L,11248218,11248819
chr3L,11523179,11523780
chr3L,11833313,11833914
chr3L,1188702,1189303
chr3L,12066542,12067143
chr3L,1206534,1207135
chr3L,13004844,13005445
chr3L,13301754,13302355
chr3L,13410906,13411507
chr3L,13486475,13487076
chr3L,1352065,1352666
chr3L,13859921,13860522
chr3L,13876865,13877466
chr3L,14111319,14111920
chr3L,14189714,14190315
chr3L,14212194,14212795
chr3L,14235739,14236340
chr3L,14512874,14513475
chr3L,14537264,14537865
chr3L,14607559,14608160
chr3L,14621274,14621875
chr3L,14671455,14672056
chr3L,14942693,14943294
chr3L,15072054,15072655
chr3L,15079241,15079842
chr3L,15641854,15642455
chr3L,1576392,1576993
chr3L,15808580,15809181
chr3L,15809692,15810293
chr3L,16037038,16037639
chr3L,16129294,16129895
chr3L,16469940,16470541
chr3L,16493615,16494216
chr3L,16741582,16742183
chr3L,16875416,16876017
chr3L,16883964,16884565
chr3L,17242223,17242824
chr3L,173822,174423
chr3L,17406981,17407582
chr3L,17596845,17597446
chr3L,176020,176621
chr3L,17766402,17767003
chr3L,17898507,17899108
chr3L,17988018,17988619
chr3L,18019523,18020124
chr3L,18114255,18114856
chr3L,18166995,18167596
chr3L,1831696,1832297
chr3L,18801223,18801824
chr3L,18848288,18848889
chr3L,18891894,18892495
chr3L,1890810,1891411
chr3L,19008925,19009526
chr3L,19062847,19063448
chr3L,19140190,19140791
chr3L,1922863,1923464
chr3L,19240527,19241128
chr3L,1970993,1971594
chr3L,20004502,20005103
chr3L,20097172,20097773
chr3L,2011885,2012486
chr3L,20220793,20221394
chr3L,20541464,20542065
chr3L,20712143,20712744
chr3L,20910178,20910779
chr3L,21049552,21050153
chr3L,21065369,21065970
chr3L,2122249,2122850
chr3L,21262387,21262988
chr3L,21285754,21286355
chr3L,21317790,21318391
chr3L,21359701,21360302
chr3L,21483790,21484391
chr3L,2152684,2153285
chr3L,21554674,21555275
chr3L,21604169,21604770
chr3L,21652691,21653292
chr3L,2166671,2167272
chr3L,22078124,22078725
chr3L,22266384,22266985
chr3L,22267133,22267734
chr3L,22346398,22346999
chr3L,2243945,2244546
chr3L,22634002,22634603
chr3L,22733563,22734164
chr3L,22940116,22940717
chr3L,22958092,22958693
chr3L,22960037,22960638
chr3L,2409180,2409781
chr3L,248058,248659
chr3L,2485709,2486310
chr3L,2851711,2852312
chr3L,2885471,2886072
chr3L,291608,292209
chr3L,2960564,2961165
chr3L,3076451,3077052
chr3L,3090383,3090984
chr3L,3178211,3178812
chr3L,3276837,3277438
chr3L,332387,332988
chr3L,342699,343300
chr3L,3616228,3616829
chr3L,3767716,3768317
chr3L,3769026,3769627
chr3L,4219158,4219759
chr3L,4239255,4239856
chr3L,4426576,4427177
chr3L,505928,506529
chr3L,5537428,5538029
chr3L,5869473,5870074
chr3L,5966707,5967308
chr3L,6054579,6055180
chr3L,6070027,6070628
chr3L,6071331,6071932
chr3L,606842,607443
chr3L,6124508,6125109
chr3L,6264352,6264953
chr3L,6549942,6550543
chr3L,6703296,6703897
chr3L,711896,712497
chr3L,7334937,7335538
chr3L,7344939,7345540
chr3L,7432173,7432774
chr3L,7811512,7812113
chr3L,7813355,7813956
chr3L,7815637,7816238
chr3L,7836958,7837559
chr3L,8059604,8060205
chr3L,8071577,8072178
chr3L,8328921,8329522
chr3L,8394841,8395442
chr3L,8627845,8628446
chr3L,8651757,8652358
chr3L,8718473,8719074
chr3L,8748729,8749330
chr3L,8787134,8787735
chr3L,8807023,8807624
chr3L,8912200,8912801
chr3L,9047242,9047843
chr3L,9054678,9055279
chr3L,9064097,9064698
chr3L,9202899,9203500
chr3L,9333600,9334201
chr3L,9476700,9477301
chr3L,9497366,9497967
chr3L,967570,968171
chr3L,9751500,9752101
chr3L,9762031,9762632
chr3R,14391137,14391738
chr3R,14728815,14729416
chr3R,14822803,14823404
chr3R,15095390,15095991
chr3R,5268385,5268986
chr3R,15131676,15132277
chr3R,15287634,15288235
chr3R,5298911,5299512
chr3R,5300507,5301108
chr3R,15688307,15688908
chr3R,16003944,16004545
chr3R,16260227,16260828
chr3R,16310188,16310789
chr3R,16373975,16374576
chr3R,16497223,16497824
chr3R,16611517,16612118
chr3R,16798553,16799154
chr3R,16969387,16969988
chr3R,16969882,16970483
chr3R,17108802,17109403
chr3R,17158555,17159156
chr3R,17231595,17232196
chr3R,17534342,17534943
chr3R,17614948,17615549
chr3R,17617026,17617627
chr3R,17682302,17682903
chr3R,18021031,18021632
chr3R,18566719,18567320
chr3R,19013944,19014545
chr3R,19096082,19096683
chr3R,19490877,19491478
chr3R,19566096,19566697
chr3R,19607484,19608085
chr3R,19648534,19649135
chr3R,20058853,20059454
chr3R,5772402,5773003
chr3R,5778621,5779222
chr3R,20286690,20287291
chr3R,20506282,20506883
chr3R,20908572,20909173
chr3R,20947920,20948521
chr3R,20949691,20950292
chr3R,21017354,21017955
chr3R,21179491,21180092
chr3R,21184627,21185228
chr3R,21386022,21386623
chr3R,21487668,21488269
chr3R,21520116,21520717
chr3R,21520646,21521247
chr3R,21619098,21619699
chr3R,21619634,21620235
chr3R,21626397,21626998
chr3R,21889075,21889676
chr3R,22072464,22073065
chr3R,22528361,22528962
chr3R,22531736,22532337
chr3R,22547609,22548210
chr3R,23159200,23159801
chr3R,23214707,23215308
chr3R,23221695,23222296
chr3R,23331166,23331767
chr3R,23601480,23602081
chr3R,23721855,23722456
chr3R,23859396,23859997
chr3R,23902433,23903034
chr3R,6149467,6150068
chr3R,6170654,6171255
chr3R,24586495,24587096
chr3R,24588774,24589375
chr3R,25512640,25513241
chr3R,25651948,25652549
chr3R,25720939,25721540
chr3R,25851024,25851625
chr3R,25888175,25888776
chr3R,26103334,26103935
chr3R,26137167,26137768
chr3R,26529439,26530040
chr3R,26881218,26881819
chr3R,27056104,27056705
chr3R,27057718,27058319
chr3R,27082599,27083200
chr3R,27301324,27301925
chr3R,27547266,27547867
chr3R,28635570,28636171
chr3R,28672106,28672707
chr3R,6683063,6683664
chr3R,29313005,29313606
chr3R,6706240,6706841
chr3R,6708747,6709348
chr3R,29591447,29592048
chr3R,29682220,29682821
chr3R,29903900,29904501
chr3R,6759386,6759987
chr3R,30134074,30134675
chr3R,30195398,30195999
chr3R,30236875,30237476
chr3R,6806520,6807121
chr3R,30584805,30585406
chr3R,30601642,30602243
chr3R,30870399,30871000
chr3R,30898507,30899108
chr3R,30946156,30946757
chr3R,6854148,6854749
chr3R,31061223,31061824
chr3R,31086287,31086888
chr3R,31127222,31127823
chr3R,6870717,6871318
chr3R,31196556,31197157
chr3R,31220901,31221502
chr3R,31263826,31264427
chr3R,31381050,31381651
chr3R,31457998,31458599
chr3R,6907945,6908546
chr3R,6912059,6912660
chr3R,6912621,6913222
chr3R,31945524,31946125
chr3R,6970441,6971042
chr3R,7199743,7200344
chr3R,7346361,7346962
chr3R,7477387,7477988
chr3R,7643423,7644024
chr3R,7644286,7644887
chr3R,7810080,7810681
chr3R,7981254,7981855
chr3R,8660164,8660765
chr3R,8862619,8863220
chr3R,8863126,8863727
chr3R,9212424,9213025
chr3R,4684724,4685325
chr3R,9705207,9705808
chr3R,9784241,9784842
chr3R,9868427,9869028
chr3R,10076557,10077158
chr3R,10100414,10101015
chr3R,10119968,10120569
chr3R,10203417,10204018
chr3R,10436904,10437505
chr3R,10675015,10675616
chr3R,10768448,10769049
chr3R,11196708,11197309
chr3R,11451963,11452564
chr3R,11568325,11568926
chr3R,11613011,11613612
chr3R,11665379,11665980
chr3R,11764216,11764817
chr3R,4952392,4952993
chr3R,4962529,4963130
chr3R,4969100,4969701
chr3R,4970583,4971184
chr3R,4973051,4973652
chr3R,12221980,12222581
chr3R,12383655,12384256
chr3R,12637999,12638600
chr3R,12650461,12651062
chr3R,12723686,12724287
chr3R,13077141,13077742
chr3R,13078152,13078753
chr3R,13359989,13360590
chr3R,13471261,13471862
chr3R,5126762,5127363
chr3R,14088683,14089284
chr4,1112775,1113376
chr4,406724,407325
chr4,424494,425095
chr4,486479,487080
chr4,490043,490644
chr4,835657,836258
chrX,10319009,10319610
chrX,10561026,10561627
chrX,10561522,10562123
chrX,10768024,10768625
chrX,11153799,11154400
chrX,1236437,1237038
chrX,11520149,11520750
chrX,11580469,11581070
chrX,1286784,1287385
chrX,1288728,1289329
chrX,12012033,12012634
chrX,1315281,1315882
chrX,12270569,12271170
chrX,12272810,12273411
chrX,12658755,12659356
chrX,13563339,13563940
chrX,13735995,13736596
chrX,13755136,13755737
chrX,13845622,13846223
chrX,1512555,1513156
chrX,1517726,1518327
chrX,1523180,1523781
chrX,14322609,14323210
chrX,1559938,1560539
chrX,14953302,14953903
chrX,14955120,14955721
chrX,15136747,15137348
chrX,15594377,15594978
chrX,15653415,15654016
chrX,16063293,16063894
chrX,16105611,16106212
chrX,16244626,16245227
chrX,16280395,16280996
chrX,16557055,16557656
chrX,16655017,16655618
chrX,1772515,1773116
chrX,16783125,16783726
chrX,16967317,16967918
chrX,17159705,17160306
chrX,17175670,17176271
chrX,17531672,17532273
chrX,17532163,17532764
chrX,17709800,17710401
chrX,17720166,17720767
chrX,17736884,17737485
chrX,17751585,17752186
chrX,17820135,17820736
chrX,17887238,17887839
chrX,18137394,18137995
chrX,18321247,18321848
chrX,18363327,18363928
chrX,18365855,18366456
chrX,18565719,18566320
chrX,1952823,1953424
chrX,18621762,18622363
chrX,18635166,18635767
chrX,18703801,18704402
chrX,18707089,18707690
chrX,18771896,18772497
chrX,2005728,2006329
chrX,19260988,19261589
chrX,19326650,19327251
chrX,19668507,19669108
chrX,19851856,19852457
chrX,19865744,19866345
chrX,2093876,2094477
chrX,20760292,20760893
chrX,21418071,21418672
chrX,22442968,22443569
chrX,22652343,22652944
chrX,22824592,22825193
chrX,2419410,2420011
chrX,2469742,2470343
chrX,2502269,2502870
chrX,2645450,2646051
chrX,361310,361911
chrX,3134495,3135096
chrX,3288102,3288703
chrX,3480807,3481408
chrX,4214280,4214881
chrX,4238566,4239167
chrX,4322256,4322857
chrX,529600,530201
chrX,4366068,4366669
chrX,4529770,4530371
chrX,4666880,4667481
chrX,4684245,4684846
chrX,4956033,4956634
chrX,5332314,5332915
chrX,5612969,5613570
chrX,657939,658540
chrX,5772619,5773220
chrX,5883269,5883870
chrX,5964209,5964810
chrX,5992066,5992667
chrX,6109754,6110355
chrX,6599011,6599612
chrX,6659818,6660419
chrX,6740954,6741555
chrX,784299,784900
chrX,6997571,6998172
chrX,7097812,7098413
chrX,7161982,7162583
chrX,7162441,7163042
chrX,7241821,7242422
chrX,7291023,7291624
chrX,843540,844141
chrX,7676745,7677346
chrX,7678741,7679342
chrX,7710652,7711253
chrX,8060762,8061363
chrX,8210536,8211137
chrX,8265185,8265786
chrX,8837825,8838426
chrX,1009777,1010378
chrX,9600157,9600758
chrX,1056429,1057030
chrX,9643383,9643984
chrX,9658686,9659287
chrX,9687631,9688232
chrX,10009653,10010254
